tabla_ine,variable,anyo,I,cnae_55,cnae_56,share_55,share_56
76815,Otros ingresos de gestión,2021,1587684.0,800149.0,787536.0,0.503972,0.496028
76815,Otros ingresos de gestión,2022,1802059.0,1045996.0,756063.0,0.580445,0.419555
76815,Otros ingresos de gestión,2023,2116963.0,1172514.0,944449.0,0.553866,0.446134
76815,Otros ingresos de gestión,2024,2479566.0,1361976.0,1117590.0,0.54928,0.45072
76815,Subvenciones a la explotación,2018,148820.0,95980.0,52840.0,0.64494,0.35506
76815,Subvenciones a la explotación,2019,233180.0,125221.0,107960.0,0.537014,0.46299
76815,Subvenciones a la explotación,2020,859312.0,467576.0,391735.0,0.544128,0.455871
76815,Subvenciones a la explotación,2021,2938743.0,1436328.0,1502415.0,0.488756,0.511244
76815,Subvenciones a la explotación,2022,498650.0,255921.0,242729.0,0.513228,0.486772
76815,Subvenciones a la explotación,2023,357042.0,180334.0,176708.0,0.505078,0.494922
76815,Subvenciones a la explotación,2024,239756.0,117771.0,121985.0,0.491212,0.508788
76815,Sueldos y salarios,2018,19365156.0,6508207.0,12856949.0,0.336078,0.663922
76815,Sueldos y salarios,2019,20908728.0,7056708.0,13852020.0,0.337501,0.662499
76815,Sueldos y salarios,2020,12491610.0,3405514.0,9086096.0,0.272624,0.727376
76815,Sueldos y salarios,2021,15444697.0,4356196.0,11088501.0,0.282051,0.717949
76815,Sueldos y salarios,2022,22528882.0,7304394.0,15224488.0,0.324224,0.675776
76815,Sueldos y salarios,2023,25333339.0,8442003.0,16891336.0,0.333237,0.666763
76815,Sueldos y salarios,2024,28493190.0,9388353.0,19104837.0,0.329495,0.670505
76815,Trabajos realizados por la empresa para su activo,2018,85243.0,63990.0,21253.0,0.750677,0.249323
76815,Trabajos realizados por la empresa para su activo,2019,231022.0,218200.0,12822.0,0.944499,0.055501
76815,Trabajos realizados por la empresa para su activo,2020,37427.0,38802.0,-1375.0,1.036738,-0.036738
76815,Trabajos realizados por la empresa para su activo,2021,135679.0,131644.0,4034.0,0.970261,0.029732
76815,Trabajos realizados por la empresa para su activo,2022,113599.0,102453.0,11146.0,0.901883,0.098117
